wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,bug
2.0,1.0,0.0,8.0,2.0,1.0,7.0,1.0,2.0,2.0,2.0,0.0,0.0,0.0,0.666667,0.0,0.0,0.0,1.0,1.0,-1.0
23.0,1.0,0.0,7.0,52.0,171.0,2.0,5.0,20.0,0.837662,420.0,1.0,2.0,0.0,0.25,0.0,0.0,16.956522,4.0,1.4348,1.0
4.0,1.0,0.0,10.0,4.0,6.0,9.0,1.0,4.0,2.0,4.0,0.0,0.0,0.0,0.55,0.0,0.0,0.0,1.0,1.0,1.0
13.0,4.0,2.0,17.0,57.0,22.0,2.0,15.0,9.0,0.25,346.0,1.0,1.0,0.85,0.192308,3.0,7.0,25.538462,6.0,1.6154,1.0
38.0,2.0,0.0,37.0,153.0,569.0,1.0,37.0,21.0,0.89527,1515.0,0.875,1.0,0.307692,0.122333,1.0,1.0,38.657895,4.0,1.5,1.0
15.0,4.0,0.0,8.0,51.0,47.0,1.0,8.0,15.0,0.785714,255.0,1.0,0.0,0.777778,0.366667,2.0,4.0,15.6,1.0,0.9333,1.0
4.0,1.0,2.0,4.0,25.0,6.0,2.0,2.0,4.0,2.0,126.0,0.0,0.0,0.0,0.625,1.0,1.0,30.5,8.0,2.75,-1.0
8.0,2.0,0.0,7.0,15.0,0.0,4.0,3.0,8.0,0.571429,83.0,0.0,1.0,0.3,0.34375,1.0,4.0,9.125,1.0,0.875,1.0
1.0,1.0,0.0,4.0,1.0,0.0,4.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,-1.0
19.0,1.0,0.0,6.0,25.0,135.0,4.0,2.0,12.0,0.944444,167.0,0.5625,2.0,0.0,0.256579,0.0,0.0,6.947368,4.0,1.0,-1.0
5.0,1.0,0.0,3.0,17.0,0.0,1.0,2.0,4.0,0.416667,74.0,1.0,0.0,0.0,0.5,0.0,0.0,13.2,4.0,1.2,1.0
15.0,4.0,0.0,9.0,44.0,63.0,0.0,9.0,15.0,0.833333,230.0,1.0,0.0,0.777778,0.366667,2.0,4.0,13.933333,1.0,0.9333,1.0
7.0,1.0,0.0,7.0,12.0,0.0,5.0,3.0,7.0,0.5,40.0,1.0,1.0,0.0,0.428571,0.0,0.0,4.428571,1.0,0.8571,-1.0
7.0,1.0,0.0,28.0,7.0,21.0,26.0,2.0,7.0,2.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,-1.0
34.0,4.0,0.0,13.0,88.0,433.0,0.0,13.0,32.0,0.925253,531.0,1.0,0.0,0.597561,0.375,2.0,4.0,14.176471,1.0,0.9706,1.0
9.0,2.0,0.0,10.0,36.0,14.0,1.0,10.0,8.0,0.5625,159.0,1.0,1.0,0.454545,0.377778,0.0,0.0,16.444444,4.0,1.3333,1.0
11.0,1.0,0.0,42.0,27.0,31.0,41.0,1.0,11.0,0.3,164.0,1.0,1.0,0.0,0.340909,1.0,1.0,13.727273,6.0,2.0,1.0
3.0,1.0,0.0,2.0,4.0,1.0,2.0,0.0,3.0,0.5,14.0,1.0,0.0,0.0,0.666667,0.0,0.0,3.333333,1.0,0.6667,-1.0
